year,title,imdb_rating,imdb_rating_0_1,num_imdb_ratings,mpaa_rating,run_time_min,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013
2013,The Internship,6.3,0.63,168758,PG-13,119,58000000,44672764,93672764,58000000,44672764,93672764
2013,The Last Exorcism Part II,4,0.4,14246,PG-13,88,4000000,15179303,18541236,4000000,15179303,18541236
2013,The Lone Ranger,6.5,0.65,194386,PG-13,150,275000000,89289910,259989910,275000000,89289910,259989910
2013,The Mortal Instruments: City of Bones,5.9,0.5900000000000001,114175,PG-13,130,60000000,31165421,75965567,60000000,31165421,75965567
2013,The Purge,5.7,0.5700000000000001,158517,R,85,3000000,64473115,91100541,3000000,64473115,91100541
2013,The Smurfs 2,5.4,0.54,30487,PG,105,110000000,71017784,348545841,110000000,71017784,348545841
2013,The To Do List,5.8,0.58,32004,R,104,1500000,3491669,3491669,1500000,3491669,3491669
2013,The Way Way Back,7.4,0.74,123809,PG-13,103,5000000,21502690,26161443,5000000,21502690,26161443
2013,The Wolf of Wall Street,8.2,0.82,890733,R,NA,100000000,115702857,365702857,100000000,115702857,365702857
2013,The Wolverine,6.7,0.67,363604,PG-13,126,115000000,132556852,416456852,115000000,132556852,416456852
2013,The World's End,7,0.7,206458,R,109,20000000,26004851,46578821,20000000,26004851,46578821
2013,This Is the End,6.6,0.6599999999999999,333759,R,107,32000000,101470202,126294264,32000000,101470202,126294264
2013,Thor: The Dark World,7,0.7,454292,PG-13,112,170000000,204674790,631674790,170000000,204674790,631674790
2013,Trance,7,0.7,98843,R,101,16000000,2322593,22594052,16000000,2322593,22594052
2013,Turbo,6.5,0.65,67420,PG,96,135000000,83028130,283828130,135000000,83028130,283828130
2013,Warm Bodies,6.9,0.6900000000000001,196152,PG-13,98,30000000,66380662,116643610,30000000,66380662,116643610
2013,We're the Millers,7,0.7,341119,R,110,37000000,150394119,270000119,37000000,150394119,270000119
2013,White House Down,6.4,0.64,176381,PG-13,131,150000000,73103784,205440387,150000000,73103784,205440387
2013,World War Z,7,0.7,505388,PG-13,116,190000000,202359711,539559711,190000000,202359711,539559711
2012,Abraham Lincoln: Vampire Hunter,5.9,0.5900000000000001,134910,R,105,67500000,37519139,115119139,68488103,38068365,116804318
2012,Act of Valor,6.5,0.65,60594,R,110,12000000,70012847,82497035,12175663,71037735,83704673
2012,Amour,7.9,0.79,76645,PG-13,127,9700000,6738954,25915719,9841994,6837603,26295088
2012,Anna Karenina,6.6,0.6599999999999999,76761,R,129,49000000,12816367,70735540,49717290,13003980,71771007
2012,Argo,7.7,0.77,489702,R,NA,44500000,136025503,221300694,45151416,138016721,224540219
2012,Battleship,5.8,0.58,213119,PG-13,131,209000000,65235400,304142720,212059460,66190353,308594933
2012,Beasts of the Southern Wild,7.3,0.73,73722,PG-13,93,1800000,12795746,21080058,1826349,12983057,21388640
2012,Blue Like Jazz,5.9,0.5900000000000001,2689,PG-13,108,1200000,595018,595018,1217566,603728,603728
2012,Brave,7.2,0.72,300866,PG,93,185000000,237282182,554606532,187708135,240755653,562725176
2012,Bullet to the Head,5.7,0.5700000000000001,41597,R,92,55000000,9489829,13561515,55805121,9628746,13760036
2012,Chernobyl Diaries,5,0.5,55524,R,86,1000000,18119640,38390020,1014639,18384886,38951995
2012,Chronicle,7.1,0.71,216058,PG-13,84,12000000,64575175,127075175,12175663,65520463,128935373
2012,Cloud Atlas,7.5,0.75,304020,R,172,102000000,27108272,126018564,103493134,27505098,127863295
2012,Contraband,6.5,0.65,105974,R,109,25000000,66528e3,98406855,25365964,67501874,99847390
